rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
20/03/2023 09:19,2022,1,1,London Area Airports,GATWICK,217622,214034,16,2799,4,129,183,0,0,28,1,444
20/03/2023 09:19,2022,1,1,London Area Airports,HEATHROW,380305,377241,418,2626,0,36,41,0,339,22,0,0
20/03/2023 09:19,2022,1,1,London Area Airports,LONDON CITY,49937,49432,6500,440,0,54,8,0,1,0,2,0
20/03/2023 09:19,2022,1,1,London Area Airports,LUTON,118063,86592,0,405,8,33,1042,0,110,36,0,29837
20/03/2023 09:19,2022,1,1,London Area Airports,SOUTHEND,26624,1478,420,201,805,1601,63,10742,10495,331,129,779
20/03/2023 09:19,2022,1,1,London Area Airports,STANSTED,176914,159531,777,4635,1,66,861,0,0,146,73,11601
20/03/2023 09:19,2022,1,2,Miscellaneous,EDMISTON LONDON HELIPORT,9012,2847,2847,2220,273,0,872,0,2475,30,78,217
20/03/2023 09:19,2022,1,3,Other UK Airports,ABERDEEN,74098,61298,5477,3938,51,2661,2930,2661,0,2,119,438
20/03/2023 09:19,2022,1,3,Other UK Airports,BARRA,1274,1238,2,2,0,6,0,0,26,0,2,0
20/03/2023 09:19,2022,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),25368,24660,299,338,12,99,3,0,229,23,0,4
20/03/2023 09:19,2022,1,3,Other UK Airports,BELFAST INTERNATIONAL,49942,38634,411,577,0,164,4419,0,0,862,5275,11
20/03/2023 09:19,2022,1,3,Other UK Airports,BENBECULA,2772,2254,328,189,65,5,167,1,47,22,16,6
20/03/2023 09:19,2022,1,3,Other UK Airports,BIGGIN HILL,46633,18292,17636,578,6578,0,0,4859,10089,0,42,6195
20/03/2023 09:19,2022,1,3,Other UK Airports,BIRMINGHAM,65644,60422,2384,1690,2,291,2898,0,265,21,55,0
20/03/2023 09:19,2022,1,3,Other UK Airports,BLACKPOOL,37259,3694,931,2476,0,1124,0,21096,8044,0,176,649
20/03/2023 09:19,2022,1,3,Other UK Airports,BOURNEMOUTH,29186,5346,287,383,0,8934,4563,2011,5757,0,333,1859
20/03/2023 09:19,2022,1,3,Other UK Airports,BRISTOL,65909,56530,913,789,2,316,3001,5082,0,90,99,0
20/03/2023 09:19,2022,1,3,Other UK Airports,CAMBRIDGE,18033,0,0,12,2372,114,0,12750,1497,16,249,1023
20/03/2023 09:19,2022,1,3,Other UK Airports,CAMPBELTOWN,1340,949,22,55,11,27,30,24,149,17,10,68
20/03/2023 09:19,2022,1,3,Other UK Airports,CARDIFF WALES,18793,6747,8,499,0,323,0,5112,5871,0,241,0
20/03/2023 09:19,2022,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),7122,3267,48,79,539,703,5,1154,1029,2,39,305
20/03/2023 09:19,2022,1,3,Other UK Airports,COVENTRY,30760,6,4,2,5,27757,1,0,2968,0,21,0
20/03/2023 09:19,2022,1,3,Other UK Airports,DONCASTER SHEFFIELD,15847,7966,2113,561,0,1527,649,3984,35,831,294,0
20/03/2023 09:19,2022,1,3,Other UK Airports,DUNDEE,13522,1745,324,279,238,889,66,8887,590,8,23,797
20/03/2023 09:19,2022,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,64678,47191,629,6019,0,1455,3282,0,718,0,39,5974
20/03/2023 09:19,2022,1,3,Other UK Airports,EDINBURGH,98065,92107,475,1717,8,9,20,0,4099,3,102,0
20/03/2023 09:19,2022,1,3,Other UK Airports,EXETER,30874,6410,17,299,2485,3268,489,8807,6875,5,188,2048
20/03/2023 09:19,2022,1,3,Other UK Airports,GLASGOW,70391,59829,2655,1211,62,379,3677,4755,0,7,151,320
20/03/2023 09:19,2022,1,3,Other UK Airports,GLOUCESTERSHIRE,60020,288,288,340,995,8251,311,34102,14699,5,161,868
20/03/2023 09:19,2022,1,3,Other UK Airports,HAWARDEN,36065,0,0,0,1935,827,804,22652,6276,11,2582,978
20/03/2023 09:19,2022,1,3,Other UK Airports,HUMBERSIDE,13103,3904,91,1140,0,5011,1225,0,816,0,734,273
20/03/2023 09:19,2022,1,3,Other UK Airports,INVERNESS,23820,11650,1410,1560,719,1154,1144,5086,1096,501,82,828
20/03/2023 09:19,2022,1,3,Other UK Airports,ISLAY,2450,1374,87,85,16,15,280,0,443,54,4,179
20/03/2023 09:19,2022,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10381,8871,144,69,0,27,0,0,1231,179,4,0
20/03/2023 09:19,2022,1,3,Other UK Airports,KIRKWALL,11758,10089,492,331,89,173,632,12,197,207,10,18
20/03/2023 09:19,2022,1,3,Other UK Airports,LANDS END (ST JUST),9169,6405,478,223,16,1258,6,48,1140,0,69,4
20/03/2023 09:19,2022,1,3,Other UK Airports,LEEDS BRADFORD,33912,26850,1446,1842,34,2693,101,7,2216,2,167,0
20/03/2023 09:19,2022,1,3,Other UK Airports,LERWICK (TINGWALL),1315,1005,185,217,0,0,2,0,91,0,0,0
20/03/2023 09:19,2022,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),47526,27508,978,655,0,253,6,13405,4057,8,241,1393
20/03/2023 09:19,2022,1,3,Other UK Airports,LYDD,29268,97,97,194,1202,315,0,12405,11520,2683,797,55
20/03/2023 09:19,2022,1,3,Other UK Airports,MANCHESTER,158575,149470,5,2629,21,186,145,0,0,0,26,6098
20/03/2023 09:19,2022,1,3,Other UK Airports,NEWCASTLE,41187,31327,130,873,0,62,4,6,6785,1409,515,206
20/03/2023 09:19,2022,1,3,Other UK Airports,NEWQUAY,24625,5555,1481,321,3311,5923,713,0,5901,2,1980,919
20/03/2023 09:19,2022,1,3,Other UK Airports,NORWICH,31434,15207,0,3820,3025,509,353,3561,4908,0,51,0
20/03/2023 09:19,2022,1,3,Other UK Airports,OXFORD (KIDLINGTON),72978,252,250,4548,68,54772,3,0,9415,0,38,3882
20/03/2023 09:19,2022,1,3,Other UK Airports,PRESTWICK,19034,3746,4,597,0,3815,0,4959,2158,0,3759,0
20/03/2023 09:19,2022,1,3,Other UK Airports,SHOREHAM,50593,273,273,79,1313,23290,209,14506,10439,3,152,329
20/03/2023 09:19,2022,1,3,Other UK Airports,SOUTHAMPTON,20562,15751,265,1918,14,149,260,0,0,0,62,2408
20/03/2023 09:19,2022,1,3,Other UK Airports,STORNOWAY,7384,5029,598,101,284,684,557,0,310,274,66,79
20/03/2023 09:19,2022,1,3,Other UK Airports,SUMBURGH,17715,14277,2695,1085,215,696,1232,0,74,98,30,8
20/03/2023 09:19,2022,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,20319,3454,41,103,0,363,5933,9705,28,5,728,0
20/03/2023 09:19,2022,1,3,Other UK Airports,TIREE,1578,1338,14,3,18,4,56,0,129,30,0,0
20/03/2023 09:19,2022,1,3,Other UK Airports,WICK JOHN O GROATS,2998,924,78,117,105,186,437,51,910,31,172,65
20/03/2023 09:19,2022,2,4,Non UK Reporting Airports,ALDERNEY,7629,4201,159,102,1029,1,16,401,1877,2,0,0
20/03/2023 09:19,2022,2,4,Non UK Reporting Airports,GUERNSEY,28854,16095,390,1474,3122,75,239,3162,4046,6,66,569
20/03/2023 09:19,2022,2,4,Non UK Reporting Airports,ISLE OF MAN,15208,10556,2028,151,0,475,16,638,2201,0,68,1103
20/03/2023 09:19,2022,2,4,Non UK Reporting Airports,JERSEY,32185,16885,11,506,0,82,6447,7499,0,615,151,0

