Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
19/03/2026 08:23:59,      202601,202501,London Area Airports,GATWICK,"2,231,501","1,198,413","78,310","1,276,723","1,413,600",-9.6828664,"893,210","61,568","954,778","922,932",3.4505251
19/03/2026 08:23:59,      202601,202501,London Area Airports,HEATHROW,"6,085,800","1,856,441","2,152","1,858,593","1,838,699",1.0819607,"4,224,670","2,537","4,227,207","4,110,277",2.8448204
19/03/2026 08:23:59,      202601,202501,London Area Airports,LONDON CITY,"178,495","149,721",0,"149,721","153,690",-2.5824712,"28,774",0,"28,774","28,266",1.7972122
19/03/2026 08:23:59,      202601,202501,London Area Airports,LUTON,"1,096,484","820,174","3,315","823,489","788,554",4.4302610,"272,995",0,"272,995","269,193",1.4123696
19/03/2026 08:23:59,      202601,202501,London Area Airports,SOUTHEND,"42,903","32,801",0,"32,801","8,279",296.1951927,"10,102",0,"10,102","2,375",325.3473684
19/03/2026 08:23:59,      202601,202501,London Area Airports,STANSTED,"1,780,267","1,503,108","10,665","1,513,773","1,491,985",1.4603364,"266,334",160,"266,494","253,386",5.1731351
19/03/2026 08:23:59,      202601,202501,Other UK Airports,ABERDEEN,"61,247","29,324","3,120","32,444","33,105",-1.9966772,"8,601","20,202","28,803","34,575",-16.6941432
19/03/2026 08:23:59,      202601,202501,Other UK Airports,BELFAST CITY (GEORGE BEST),"4,720","3,513","1,188","4,701","7,933",-40.7412076,0,19,19,6,216.6666667
19/03/2026 08:23:59,      202601,202501,Other UK Airports,BELFAST INTERNATIONAL,"125,223","97,654","9,683","107,337","109,971",-2.3951769,"16,994",892,"17,886","16,152",10.7355126
19/03/2026 08:23:59,      202601,202501,Other UK Airports,BIGGIN HILL,379,0,216,216,175,23.4285714,0,163,163,64,154.6875000
