rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
25/02/2026 16:31,2025,1,1,London Area Airports,GATWICK,263113,259391,9,2943,0,198,156,0,0,70,2,353
25/02/2026 16:31,2025,1,1,London Area Airports,HEATHROW,479996,477917,47,1453,0,105,58,0,310,151,2,0
25/02/2026 16:31,2025,1,1,London Area Airports,LONDON CITY,50992,50098,2605,283,0,54,10,0,0,0,0,547
25/02/2026 16:31,2025,1,1,London Area Airports,LUTON,134763,105060,0,713,80,2,554,0,110,0,0,28244
25/02/2026 16:31,2025,1,1,London Area Airports,SOUTHEND,30728,5551,531,366,390,1588,103,12879,8776,93,165,817
25/02/2026 16:31,2025,1,1,London Area Airports,STANSTED,194881,188351,41,167,0,1,667,0,0,67,37,5591
25/02/2026 16:31,2025,1,2,Miscellaneous,EDMISTON LONDON HELIPORT,8976,2820,2820,2131,65,0,1394,0,2342,14,64,146
25/02/2026 16:31,2025,1,3,Other UK Airports,ABERDEEN,65611,56018,1010,2552,16,2494,2587,1566,0,5,274,99
25/02/2026 16:31,2025,1,3,Other UK Airports,BARRA,1206,1157,0,1,0,0,0,4,37,0,5,2
25/02/2026 16:31,2025,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),28635,27812,285,607,11,27,2,0,156,11,2,7
25/02/2026 16:31,2025,1,3,Other UK Airports,BELFAST INTERNATIONAL,58180,49143,355,741,2,134,3900,0,0,961,3299,0
25/02/2026 16:31,2025,1,3,Other UK Airports,BENBECULA,2570,1861,11,98,6,4,436,2,38,0,82,43
25/02/2026 16:31,2025,1,3,Other UK Airports,BIGGIN HILL,36286,14580,13169,674,3642,576,0,3957,5600,0,6,7251
25/02/2026 16:31,2025,1,3,Other UK Airports,BIRMINGHAM,99140,92960,416,241,0,51,5615,0,206,12,55,0
25/02/2026 16:31,2025,1,3,Other UK Airports,BLACKPOOL,38140,5473,1209,171,0,1428,0,22851,7077,0,230,910
25/02/2026 16:31,2025,1,3,Other UK Airports,BOURNEMOUTH,24861,10337,542,1138,1304,1037,2815,1884,4257,258,624,1207
25/02/2026 16:31,2025,1,3,Other UK Airports,BRISTOL,78084,73147,1132,759,4,21,1782,2092,0,256,23,0
25/02/2026 16:31,2025,1,3,Other UK Airports,CAMBRIDGE,20609,0,0,0,3230,4,0,15162,1007,2,181,1023
25/02/2026 16:31,2025,1,3,Other UK Airports,CAMPBELTOWN,1414,981,5,27,2,44,103,20,190,2,0,45
25/02/2026 16:31,2025,1,3,Other UK Airports,CARDIFF WALES,16956,7394,3,413,0,2601,6329,0,0,7,212,0
25/02/2026 16:31,2025,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),7941,3465,36,92,278,1622,6,1050,1044,4,2,378
25/02/2026 16:31,2025,1,3,Other UK Airports,COVENTRY,18712,27,27,10,4,16361,5,0,2274,0,31,0
25/02/2026 16:31,2025,1,3,Other UK Airports,DUNDEE,4254,1705,286,307,183,1066,48,0,240,2,27,676
