Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
25/02/2026 16:38:14,   2025,2024,London Area Airports,GATWICK,"39,811,877","25,339,612","1,549,320","26,888,932","27,539,991",-2.3640494,"12,419,330","503,615","12,922,945","12,742,386",1.4169952
25/02/2026 16:38:14,   2025,2024,London Area Airports,HEATHROW,"79,561,354","28,403,181","9,689","28,412,870","28,107,109",1.0878422,"51,129,965","18,519","51,148,484","50,717,814",0.8491494
25/02/2026 16:38:14,   2025,2024,London Area Airports,LONDON CITY,"2,987,447","2,603,461",548,"2,604,009","2,476,098",5.1658295,"383,438",0,"383,438","369,394",3.8019026
25/02/2026 16:38:14,   2025,2024,London Area Airports,LUTON,"16,469,483","13,003,758","115,231","13,118,989","12,646,174",3.7387988,"3,315,879","34,615","3,350,494","2,963,049",13.0758891
25/02/2026 16:38:14,   2025,2024,London Area Airports,SOUTHEND,"709,139","571,844",0,"571,844","275,702",107.4138019,"137,295",0,"137,295","11,576",1086.0314444
25/02/2026 16:38:14,   2025,2024,London Area Airports,STANSTED,"28,208,371","23,930,448","273,608","24,204,056","24,454,399",-1.0237136,"3,973,670","30,645","4,004,315","3,701,740",8.1738588
25/02/2026 16:38:14,   2025,2024,Other UK Airports,ABERDEEN,"1,111,825","596,827","62,761","659,588","591,637",11.4852519,"144,668","307,569","452,237","479,084",-5.6038190
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BELFAST CITY (GEORGE BEST),"119,657","109,602","9,947","119,549","123,189",-2.9548093,0,108,108,28,285.7142857
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BELFAST INTERNATIONAL,"2,671,402","2,306,854","117,230","2,424,084","2,317,785",4.5862321,"238,520","8,798","247,318","244,309",1.2316370
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BIGGIN HILL,"7,635",0,"6,465","6,465","6,392",1.1420526,0,"1,170","1,170","1,151",1.6507385
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BIRMINGHAM,"12,503,337","8,473,173","1,104,499","9,577,672","8,758,769",9.3495216,"2,712,828","212,837","2,925,665","2,942,437",-0.5700037
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BLACKPOOL,"18,610",0,0,0,0,0.0000000,0,"18,610","18,610","18,729",-0.6353783
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BOURNEMOUTH,"1,328,273","1,035,700","199,233","1,234,933","951,563",29.7794261,"78,263","15,077","93,340","83,902",11.2488379
25/02/2026 16:38:14,   2025,2024,Other UK Airports,BRISTOL,"9,453,219","7,742,190","555,028","8,297,218","8,106,562",2.3518725,"1,139,583","16,418","1,156,001","1,115,134",3.6647614
25/02/2026 16:38:14,   2025,2024,Other UK Airports,CAMPBELTOWN,16,0,16,16,66,-75.7575758,0,0,0,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,CARDIFF WALES,"896,583","392,176","435,606","827,782","748,429",10.6026089,429,"68,372","68,801","68,302",0.7305789
25/02/2026 16:38:14,   2025,2024,Other UK Airports,CITY OF DERRY (EGLINTON),"3,555",0,"3,213","3,213","3,990",-19.4736842,0,342,342,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,DUNDEE,174,0,78,78,65,20.0000000,0,96,96,171,-43.8596491
25/02/2026 16:38:14,   2025,2024,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"3,860,003","2,890,893","657,927","3,548,820","3,706,142",-4.2448994,"263,975","47,208","311,183","305,082",1.9997902
25/02/2026 16:38:14,   2025,2024,Other UK Airports,EDINBURGH,"12,304,290","9,280,522","59,105","9,339,627","8,713,460",7.1862039,"2,962,023","2,640","2,964,663","2,358,865",25.6817580
25/02/2026 16:38:14,   2025,2024,Other UK Airports,EXETER,"459,852","191,370","237,547","428,917","304,731",40.7526638,9,"30,926","30,935","17,512",76.6502969
25/02/2026 16:38:14,   2025,2024,Other UK Airports,FARNBOROUGH,"34,843",0,"27,025","27,025","26,200",3.1488550,0,"7,818","7,818","8,718",-10.3234687
25/02/2026 16:38:14,   2025,2024,Other UK Airports,GLASGOW,"4,878,731","3,349,813","468,171","3,817,984","3,708,709",2.9464431,"1,002,624","58,123","1,060,747","1,012,142",4.8021918
25/02/2026 16:38:14,   2025,2024,Other UK Airports,HUMBERSIDE,"151,839","125,522","16,829","142,351","123,793",14.9911546,0,"9,488","9,488","11,663",-18.6487182
25/02/2026 16:38:14,   2025,2024,Other UK Airports,INVERNESS,"102,211","97,146","4,023","101,169","103,494",-2.2465070,574,468,"1,042",445,134.1573034
25/02/2026 16:38:14,   2025,2024,Other UK Airports,ISLAY,10,0,10,10,0,0.0000000,0,0,0,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,KIRKWALL,"1,519",0,0,0,0,0.0000000,512,"1,007","1,519","1,140",33.2456140
25/02/2026 16:38:14,   2025,2024,Other UK Airports,LEEDS BRADFORD,"4,247,749","3,908,795","46,351","3,955,146","3,729,945",6.0376493,"292,603",0,"292,603","294,491",-0.6411062
25/02/2026 16:38:14,   2025,2024,Other UK Airports,LIVERPOOL (JOHN LENNON),"4,866,363","4,402,551","12,757","4,415,308","3,881,524",13.7519181,"450,274",781,"451,055","362,920",24.2849664
25/02/2026 16:38:14,   2025,2024,Other UK Airports,LYDD,3,0,0,0,5,0.0000000,0,3,3,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,MANCHESTER,"30,211,712","18,703,923","1,723,002","20,426,925","19,777,152",3.2854731,"9,338,385","446,402","9,784,787","9,093,559",7.6012923
25/02/2026 16:38:14,   2025,2024,Other UK Airports,NEWCASTLE,"4,535,241","3,717,788","6,777","3,724,565","3,380,248",10.1861461,"810,299",377,"810,676","789,987",2.6189039
25/02/2026 16:38:14,   2025,2024,Other UK Airports,NEWQUAY,"210,929","201,913",162,"202,075","196,863",2.6475265,"8,797",57,"8,854","7,289",21.4707093
25/02/2026 16:38:14,   2025,2024,Other UK Airports,NORWICH,"413,538","127,276","200,001","327,277","301,751",8.4592926,0,"86,261","86,261","78,903",9.3253742
25/02/2026 16:38:14,   2025,2024,Other UK Airports,OXFORD (KIDLINGTON),,0,,0,2,0.0000000,0,0,0,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,PRESTWICK,"620,084","617,284","2,604","619,888","534,210",16.0382621,0,196,196,423,-53.6643026
25/02/2026 16:38:14,   2025,2024,Other UK Airports,SOUTHAMPTON,"326,089","302,201","6,085","308,286","261,763",17.7729473,"17,803",0,"17,803","23,201",-23.2662385
25/02/2026 16:38:14,   2025,2024,Other UK Airports,STORNOWAY,4,0,4,4,50,-92.0000000,0,0,0,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,SUMBURGH,"69,994",0,43,43,114,-62.2807018,"1,911","68,040","69,951","79,163",-11.6367495
25/02/2026 16:38:14,   2025,2024,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"250,327","227,420","19,287","246,707","209,713",17.6402989,0,"3,620","3,620","4,734",-23.5318969
25/02/2026 16:38:14,   2025,2024,Other UK Airports,TIREE,1,1,0,1,0,0.0000000,0,0,0,0,0.0000000
25/02/2026 16:38:14,   2025,2024,Other UK Airports,WICK JOHN O GROATS,"1,502",0,106,106,0,0.0000000,0,"1,396","1,396",251,456.1752988
25/02/2026 16:38:14,   2025,2024,Non UK Reporting Airports,GUERNSEY,"31,908","27,741","3,534","31,275","29,612",5.6159665,627,6,633,567,11.6402116
