rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
25/02/2026 16:40,2025,2024,1,1,London Area Airports,GATWICK,2954535,2752,2957287,2959778,-0.084161718
25/02/2026 16:40,2025,2024,1,1,London Area Airports,HEATHROW,4900735,184,4900919,5032374,-2.612186614
25/02/2026 16:40,2025,2024,1,1,London Area Airports,LONDON CITY,750247,194,750441,727758,3.116832793
25/02/2026 16:40,2025,2024,1,1,London Area Airports,LUTON,1299114,347,1299461,1327895,-2.141283761
25/02/2026 16:40,2025,2024,1,1,London Area Airports,SOUTHEND,10374,0,10374,480,2061.250000000
25/02/2026 16:40,2025,2024,1,1,London Area Airports,STANSTED,1548428,1691,1550119,1537992,0.788495649
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,ABERDEEN,1127699,62419,1190118,1229936,-3.237404223
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BARRA,11820,0,11820,11057,6.900605951
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2243850,209,2244059,2267825,-1.047964459
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,4004430,1027,4005457,4188346,-4.366616321
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BENBECULA,26230,0,26230,26471,-0.910430282
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BIGGIN HILL,0,684,684,810,-15.555555556
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BIRMINGHAM,1156467,578,1157045,1146476,0.921868404
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BOURNEMOUTH,50351,1826,52177,52905,-1.376051413
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,BRISTOL,1378664,830,1379494,1392719,-0.949581358
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,CAMPBELTOWN,7217,0,7217,6941,3.976372281
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,CARDIFF WALES,59527,1901,61428,57983,5.941396616
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),217330,48,217378,175105,24.141515091
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,DUNDEE,27545,288,27833,30119,-7.589893423
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,95292,461,95753,121974,-21.497204322
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,EDINBURGH,4663109,2332,4665441,4707166,-0.886414458
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,EXETER,111904,504,112408,127479,-11.822339366
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,FARNBOROUGH,0,2962,2962,3424,-13.492990654
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,GLASGOW,3325049,1500,3326549,3343940,-0.520075121
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,HUMBERSIDE,8684,648,9332,15159,-38.439211030
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,INVERNESS,717880,1048,718928,692469,3.820965271
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,ISLAY,32067,3,32070,30535,5.027018176
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),72244,0,72244,68086,6.106982346
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,KIRKWALL,145330,97,145427,134440,8.172418923
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,LANDS END (ST JUST),51458,0,51458,49580,3.787817668
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,LEEDS BRADFORD,199213,62,199275,197820,0.735517137
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,LERWICK (TINGWALL),2768,0,2768,2840,-2.535211268
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),740385,4675,745060,829644,-10.195216261
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,LYDD,0,2,2,0,
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,MANCHESTER,1847743,1852,1849595,1884867,-1.871325669
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,NEWCASTLE,945139,0,945139,972503,-2.813770240
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,NEWQUAY,183175,203,183378,211837,-13.434385872
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,NORWICH,18666,13848,32514,34445,-5.606038612
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,PRESTWICK,0,615,615,468,31.410256410
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,SOUTHAMPTON,557872,1225,559097,567537,-1.487127711
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,STORNOWAY,104347,185,104532,100757,3.746637951
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,SUMBURGH,148765,63479,212244,207934,2.072773091
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,7001,3245,10246,13337,-23.176126565
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,TIREE,10510,0,10510,9829,6.928476956
25/02/2026 16:40,2025,2024,1,3,Other UK Airports,WICK JOHN O GROATS,4778,408,5186,9712,-46.602141680
25/02/2026 16:40,2025,2024,2,4,Non UK Reporting Airports,ALDERNEY,47387,0,47387,47736,-0.731104408
25/02/2026 16:40,2025,2024,2,4,Non UK Reporting Airports,GUERNSEY,657483,323,657806,653603,0.643050904
25/02/2026 16:40,2025,2024,2,4,Non UK Reporting Airports,ISLE OF MAN,557474,492,557966,588349,-5.164111777
25/02/2026 16:40,2025,2024,2,4,Non UK Reporting Airports,JERSEY,1400297,3182,1403479,1421614,-1.275662733

