Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
14/03/2025 11:38:54,   2024,2023,London Area Airports,GATWICK,"40,282,377","25,907,869","1,627,340","27,535,209","26,846,157",2.5666690,"12,014,267","732,901","12,747,168","11,088,298",14.9605467
14/03/2025 11:38:54,   2024,2023,London Area Airports,HEATHROW,"78,824,923","28,090,888","16,221","28,107,109","26,160,004",7.4430608,"50,707,958","9,856","50,717,814","48,395,317",4.7990119
14/03/2025 11:38:54,   2024,2023,London Area Airports,LONDON CITY,"2,845,492","2,475,761",337,"2,476,098","2,255,697",9.7708602,"369,394",0,"369,394","459,328",-19.5794726
14/03/2025 11:38:54,   2024,2023,London Area Airports,LUTON,"15,609,223","12,527,956","118,218","12,646,174","12,603,039",0.3422587,"2,925,116","37,933","2,963,049","2,518,339",17.6588617
14/03/2025 11:38:54,   2024,2023,London Area Airports,SOUTHEND,"287,278","272,444","3,258","275,702","143,943",91.5355384,"11,576",0,"11,576","2,071",458.9570256
14/03/2025 11:38:54,   2024,2023,London Area Airports,STANSTED,"28,156,139","24,172,692","281,707","24,454,399","23,639,670",3.4464483,"3,661,451","40,289","3,701,740","2,941,205",25.8579392
14/03/2025 11:38:54,   2024,2023,Other UK Airports,ABERDEEN,"1,070,721","526,509","65,128","591,637","563,819",4.9338529,"120,210","358,874","479,084","477,866",0.2548832
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BELFAST CITY (GEORGE BEST),"123,217","107,963","15,226","123,189","80,263",53.4816790,0,28,28,35,-20.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BELFAST INTERNATIONAL,"2,562,094","2,221,974","95,811","2,317,785","1,878,539",23.3823200,"224,348","19,961","244,309","130,612",87.0494288
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BIGGIN HILL,"7,543",0,"6,392","6,392","4,518",41.4785303,0,"1,151","1,151",684,68.2748538
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BIRMINGHAM,"11,701,206","7,657,245","1,101,524","8,758,769","8,097,093",8.1717723,"2,567,053","375,384","2,942,437","2,351,043",25.1545378
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BLACKPOOL,"18,729",0,0,0,0,0.0000000,0,"18,729","18,729","14,365",30.3793944
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BOURNEMOUTH,"1,035,465","711,976","239,587","951,563","850,592",11.8706736,"55,683","28,219","83,902","48,833",71.8141421
14/03/2025 11:38:54,   2024,2023,Other UK Airports,BRISTOL,"9,221,696","7,524,900","581,662","8,106,562","7,646,580",6.0155259,"1,028,278","86,856","1,115,134","897,393",24.2637284
14/03/2025 11:38:54,   2024,2023,Other UK Airports,CAMPBELTOWN,66,0,66,66,10,560.0000000,0,0,0,0,0.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,CARDIFF WALES,"816,731","339,327","409,102","748,429","716,934",4.3930125,990,"67,312","68,302","51,006",33.9097361
14/03/2025 11:38:54,   2024,2023,Other UK Airports,CITY OF DERRY (EGLINTON),"3,990",0,"3,990","3,990","4,199",-4.9773756,0,0,0,376,0.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,DUNDEE,236,0,65,65,57,14.0350877,0,171,171,134,27.6119403
14/03/2025 11:38:54,   2024,2023,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"4,011,224","3,044,438","661,704","3,706,142","3,564,328",3.9787023,"216,284","88,798","305,082","247,582",23.2246286
14/03/2025 11:38:54,   2024,2023,Other UK Airports,EDINBURGH,"11,072,325","8,637,252","76,208","8,713,460","8,209,432",6.1396209,"2,355,764","3,101","2,358,865","1,899,644",24.1740558
14/03/2025 11:38:54,   2024,2023,Other UK Airports,EXETER,"322,243","131,341","173,390","304,731","273,224",11.5315638,0,"17,512","17,512","22,489",-22.1308195
14/03/2025 11:38:54,   2024,2023,Other UK Airports,FARNBOROUGH,"34,918",0,"26,200","26,200","26,576",-1.4148104,0,"8,718","8,718","7,973",9.3440361
14/03/2025 11:38:54,   2024,2023,Other UK Airports,GLASGOW,"4,720,851","3,238,122","470,587","3,708,709","3,243,077",14.3577226,"866,388","145,754","1,012,142","872,796",15.9654719
14/03/2025 11:38:54,   2024,2023,Other UK Airports,HUMBERSIDE,"135,456","104,762","19,031","123,793","109,292",13.2681258,0,"11,663","11,663","11,939",-2.3117514
14/03/2025 11:38:54,   2024,2023,Other UK Airports,INVERNESS,"103,939","100,023","3,471","103,494","90,971",13.7659254,197,248,445,409,8.8019560
14/03/2025 11:38:54,   2024,2023,Other UK Airports,KIRKWALL,"1,140",0,0,0,0,0.0000000,561,579,"1,140",492,131.7073171
14/03/2025 11:38:54,   2024,2023,Other UK Airports,LEEDS BRADFORD,"4,024,436","3,687,862","42,083","3,729,945","3,587,952",3.9574944,"282,323","12,168","294,491","230,901",27.5399414
14/03/2025 11:38:54,   2024,2023,Other UK Airports,LIVERPOOL (JOHN LENNON),"4,244,444","3,863,294","18,230","3,881,524","3,145,450",23.4012303,"360,677","2,243","362,920","227,908",59.2396932
14/03/2025 11:38:54,   2024,2023,Other UK Airports,LYDD,5,0,5,5,7,-28.5714286,0,0,0,0,0.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,MANCHESTER,"28,870,711","18,001,714","1,775,438","19,777,152","18,357,326",7.7343835,"8,424,293","669,266","9,093,559","7,951,002",14.3699750
14/03/2025 11:38:54,   2024,2023,Other UK Airports,NEWCASTLE,"4,170,235","3,379,092","1,156","3,380,248","3,244,388",4.1875386,"789,987",0,"789,987","676,598",16.7586957
14/03/2025 11:38:54,   2024,2023,Other UK Airports,NEWQUAY,"204,152","196,750",113,"196,863","163,574",20.3510338,"7,170",119,"7,289","3,077",136.8865778
14/03/2025 11:38:54,   2024,2023,Other UK Airports,NORWICH,"380,654","188,969","112,782","301,751","228,245",32.2048676,0,"78,903","78,903","91,838",-14.0845837
14/03/2025 11:38:54,   2024,2023,Other UK Airports,OXFORD (KIDLINGTON),2,0,2,2,2,0.0000000,0,0,0,0,0.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,PRESTWICK,"534,633","530,486","3,724","534,210","523,673",2.0121335,1,422,423,2,21050.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,SOUTHAMPTON,"284,964","255,089","6,674","261,763","207,063",26.4170808,"23,132",69,"23,201","17,934",29.3687967
14/03/2025 11:38:54,   2024,2023,Other UK Airports,STORNOWAY,50,0,50,50,29,72.4137931,0,0,0,0,0.0000000
14/03/2025 11:38:54,   2024,2023,Other UK Airports,SUMBURGH,"79,277",0,114,114,64,78.1250000,"1,883","77,280","79,163","77,071",2.7143802
14/03/2025 11:38:54,   2024,2023,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"214,447","185,705","24,008","209,713","201,262",4.1990043,0,"4,734","4,734","5,918",-20.0067590
14/03/2025 11:38:54,   2024,2023,Other UK Airports,WICK JOHN O GROATS,251,0,0,0,0,0.0000000,0,251,251,8,3037.5000000
14/03/2025 11:38:54,   2024,2023,Non UK Reporting Airports,GUERNSEY,"30,179","24,845","4,767","29,612","22,998",28.7590225,565,2,567,910,-37.6923077
14/03/2025 11:38:54,   2024,2023,Non UK Reporting Airports,ISLE OF MAN,"50,789","39,701","11,061","50,762","47,117",7.7360613,0,27,27,23,17.3913043
14/03/2025 11:38:54,   2024,2023,Non UK Reporting Airports,JERSEY,"48,192","21,482","25,524","47,006","57,516",-18.2731762,0,"1,186","1,186","1,015",16.8472906

